Genus,Species,ID,ocellus_type,scalebar_size,sex,modified_y_n,complete
-0.001	0.009 
11.759	-0.001
0.001	3.769
11.759	3.769
4.363	3.437
4.657	3.436
time 	Area	Mean	Min	Max	X	Y
1	0.000	185	185	185	0.755	1.615
2	0.000	137	137	137	0.837	1.637
3	0.000	148	148	148	0.940	1.614
4	0.000	145	145	145	1.005	1.579
5	0.000	117	117	117	1.035	1.522
6	0.000	155	155	155	1.114	1.360
7	0.000	145	145	145	1.140	1.330
8	0.000	150	150	150	1.165	1.299
9	0.000	152	152	152	1.195	1.262
10	0.000	167	167	167	1.192	1.225
11	0.000	141	141	141	1.540	1.140
12	0.000	132	132	132	1.599	1.117
13	0.000	135	135	135	1.645	1.084
14	0.000	142	142	142	1.689	1.050
15	0.000	153	153	153	1.730	1.020
16	0.000	145	145	145	0.692	2.128
17	0.000	149	149	149	0.775	2.106
18	0.000	153	153	153	0.847	2.041
19	0.000	153	153	153	0.889	1.981
20	0.000	144	144	144	0.950	1.900
21	0.000	145	145	145	1.394	1.723
22	0.000	136	136	136	1.467	1.690
23	0.000	147	147	147	1.519	1.636
24	0.000	137	137	137	1.557	1.585
25	0.000	140	140	140	1.585	1.540
26	0.000	145	145	145	1.707	1.618
27	0.000	136	136	136	1.747	1.583
28	0.000	137	137	137	1.784	1.563
29	0.000	141	141	141	1.825	1.551
30	0.000	134	134	134	1.864	1.541
31	0.000	173	173	173	0.800	2.308
32	0.000	129	129	129	0.824	2.297
33	0.000	139	139	139	0.843	2.289
34	0.000	128	128	128	0.860	2.277
35	0.000	150	150	150	0.874	2.269
36	0.000	161	161	161	0.993	2.196
37	0.000	137	137	137	1.064	2.140
38	0.000	139	139	139	1.123	2.075
39	0.000	154	154	154	1.176	1.996
40	0.000	155	155	155	1.215	1.896
41	0.000	163	163	163	1.285	2.081
42	0.000	135	135	135	1.338	2.053
43	0.000	129	129	129	1.391	2.029
44	0.000	135	135	135	1.439	2.005
45	0.000	137	137	137	1.476	1.990
46	0.000	144	144	144	1.482	1.994
47	0.000	140	140	140	1.559	1.965
48	0.000	135	135	135	1.635	1.927
49	0.000	140	140	140	1.713	1.901
50	0.000	144	144	144	1.790	1.875
51	0.000	156	156	156	0.958	2.375
52	0.000	145	145	145	1.009	2.340
53	0.000	143	143	143	1.061	2.310
54	0.000	137	137	137	1.125	2.276
55	0.000	144	144	144	1.190	2.245
56	0.000	147	147	147	1.206	2.216
57	0.000	137	137	137	1.264	2.191
58	0.000	142	142	142	1.314	2.167
59	0.000	144	144	144	1.355	2.146
60	0.000	148	148	148	1.405	2.119
61	0.000	146	146	146	0.859	2.605
62	0.000	143	143	143	0.893	2.581
63	0.000	147	147	147	0.924	2.560
64	0.000	148	148	148	0.948	2.544
65	0.000	153	153	153	0.971	2.522
66	0.000	153	153	153	1.088	2.513
67	0.000	150	150	150	1.160	2.460
68	0.000	142	142	142	1.231	2.419
69	0.000	145	145	145	1.300	2.379
70	0.000	146	146	146	1.361	2.336
71	0.000	159	159	159	1.409	2.288
72	0.000	144	144	144	1.489	2.241
73	0.000	151	151	151	1.561	2.205
74	0.000	152	152	152	1.633	2.165
75	0.000	150	150	150	1.689	2.118
76	0.000	140	140	140	1.754	2.126
77	0.000	144	144	144	1.830	2.096
78	0.000	136	136	136	1.904	2.071
79	0.000	144	144	144	1.968	2.047
80	0.000	155	155	155	2.031	2.027
81	0.000	144	144	144	1.183	2.594
82	0.000	148	148	148	1.244	2.618
83	0.000	146	146	146	1.298	2.638
84	0.000	146	146	146	1.354	2.659
85	0.000	144	144	144	1.403	2.681
86	0.000	173	173	173	1.509	2.519
87	0.000	160	160	160	1.574	2.476
88	0.000	158	158	158	1.644	2.445
89	0.000	160	160	160	1.700	2.428
90	0.000	158	158	158	1.749	2.410
91	0.000	147	147	147	1.788	2.235
92	0.000	138	138	138	1.850	2.270
93	0.000	138	138	138	1.904	2.285
94	0.000	143	143	143	1.958	2.306
95	0.000	181	181	181	1.990	2.326
96	0.000	161	161	161	1.621	3.020
97	0.000	159	159	159	1.640	2.956
98	0.000	146	146	146	1.656	2.877
99	0.000	163	163	163	1.696	2.815
100	0.000	200	200	200	1.759	2.768
101	0.000	161	161	161	2.211	1.106
102	0.000	141	141	141	2.267	1.087
103	0.000	138	138	138	2.301	1.063
104	0.000	135	135	135	2.342	1.040
105	0.000	132	132	132	2.372	1.015
106	0.000	143	143	143	2.145	1.555
107	0.000	156	156	156	2.205	1.500
108	0.000	153	153	153	2.257	1.450
109	0.000	151	151	151	2.309	1.400
110	0.000	150	150	150	2.362	1.332
111	0.000	146	146	146	2.565	1.318
112	0.000	131	131	131	2.613	1.292
113	0.000	136	136	136	2.650	1.256
114	0.000	139	139	139	2.686	1.220
115	0.000	147	147	147	2.725	1.207
116	0.000	147	147	147	1.821	1.829
117	0.000	133	133	133	1.902	1.795
118	0.000	132	132	132	1.983	1.759
119	0.000	133	133	133	2.046	1.724
120	0.000	152	152	152	2.128	1.680
121	0.000	148	148	148	2.619	1.553
122	0.000	132	132	132	2.678	1.560
123	0.000	136	136	136	2.725	1.554
124	0.000	131	131	131	2.763	1.540
125	0.000	161	161	161	2.785	1.523
126	0.000	151	151	151	2.262	1.771
127	0.000	141	141	141	2.353	1.751
128	0.000	137	137	137	2.444	1.731
129	0.000	138	138	138	2.526	1.713
130	0.000	144	144	144	2.603	1.686
131	0.000	139	139	139	2.105	1.959
132	0.000	139	139	139	2.154	1.946
133	0.000	130	130	130	2.204	1.936
134	0.000	134	134	134	2.238	1.932
135	0.000	163	163	163	2.269	1.931
136	0.000	149	149	149	2.350	1.944
137	0.000	139	139	139	2.400	1.941
138	0.000	144	144	144	2.449	1.940
139	0.000	138	138	138	2.496	1.935
140	0.000	148	148	148	2.539	1.933
141	0.000	150	150	150	2.656	1.843
142	0.000	134	134	134	2.709	1.824
143	0.000	140	140	140	2.752	1.807
144	0.000	139	139	139	2.797	1.792
145	0.000	191	191	191	2.839	1.775
146	0.000	165	165	165	2.147	2.187
147	0.000	138	138	138	2.215	2.162
148	0.000	145	145	145	2.290	2.162
149	0.000	152	152	152	2.367	2.162
150	0.000	151	151	151	2.435	2.177
151	0.000	162	162	162	2.155	2.644
152	0.000	156	156	156	2.237	2.625
153	0.000	145	145	145	2.306	2.608
154	0.000	143	143	143	2.386	2.592
155	0.000	148	148	148	2.450	2.561
156	0.000	150	150	150	2.239	2.980
157	0.000	153	153	153	2.275	2.916
158	0.000	153	153	153	2.299	2.865
159	0.000	151	151	151	2.316	2.800
160	0.000	178	178	178	2.310	2.723
161	0.000	174	174	174	2.605	2.879
162	0.000	135	135	135	2.641	2.895
163	0.000	139	139	139	2.669	2.908
164	0.000	140	140	140	2.692	2.919
165	0.000	162	162	162	2.716	2.932
166	0.000	177	177	177	3.150	1.258
167	0.000	127	127	127	3.210	1.280
168	0.000	129	129	129	3.259	1.304
169	0.000	133	133	133	3.312	1.320
170	0.000	137	137	137	3.354	1.330
171	0.000	150	150	150	2.826	1.555
172	0.000	135	135	135	2.910	1.560
173	0.000	135	135	135	2.998	1.561
174	0.000	136	136	136	3.074	1.562
175	0.000	136	136	136	3.170	1.564
176	0.000	154	154	154	3.521	1.495
177	0.000	133	133	133	3.570	1.510
178	0.000	133	133	133	3.611	1.520
179	0.000	130	130	130	3.655	1.525
180	0.000	158	158	158	3.698	1.526
181	0.000	140	140	140	3.230	1.630
182	0.000	132	132	132	3.301	1.641
183	0.000	136	136	136	3.376	1.655
184	0.000	137	137	137	3.449	1.657
185	0.000	137	137	137	3.516	1.663
186	0.000	157	157	157	2.941	1.841
187	0.000	142	142	142	3.018	1.840
188	0.000	142	142	142	3.105	1.835
189	0.000	145	145	145	3.179	1.823
190	0.000	141	141	141	3.259	1.796
191	0.000	161	161	161	3.581	1.755
192	0.000	138	138	138	3.621	1.765
193	0.000	130	130	130	3.675	1.766
194	0.000	136	136	136	3.710	1.765
195	0.000	149	149	149	3.740	1.765
196	0.000	150	150	150	2.740	2.046
197	0.000	156	156	156	2.805	2.018
198	0.000	154	154	154	2.905	2.025
199	0.000	141	141	141	3.003	2.033
200	0.000	142	142	142	3.050	2.021
201	0.000	167	167	167	3.045	2.580
202	0.000	155	155	155	3.101	2.610
203	0.000	157	157	157	3.168	2.624
204	0.000	149	149	149	3.232	2.623
205	0.000	158	158	158	3.280	2.614
206	0.000	168	168	168	3.929	0.881
207	0.000	130	130	130	3.969	0.898
208	0.000	135	135	135	4.010	0.910
209	0.000	131	131	131	4.050	0.910
210	0.000	136	136	136	4.085	0.908
211	0.000	169	169	169	4.073	1.176
212	0.000	138	138	138	4.104	1.210
213	0.000	130	130	130	4.130	1.235
214	0.000	128	128	128	4.154	1.257
215	0.000	146	146	146	4.181	1.275
216	0.000	153	153	153	3.818	1.661
217	0.000	140	140	140	3.904	1.666
218	0.000	138	138	138	3.986	1.663
219	0.000	141	141	141	4.063	1.652
220	0.000	162	162	162	4.155	1.637
221	0.000	161	161	161	4.304	1.564
222	0.000	147	147	147	4.392	1.545
223	0.000	141	141	141	4.470	1.530
224	0.000	140	140	140	4.529	1.507
225	0.000	174	174	174	4.584	1.476
226	0.000	178	178	178	4.280	1.681
227	0.000	132	132	132	4.332	1.705
228	0.000	139	139	139	4.367	1.725
229	0.000	140	140	140	4.401	1.741
230	0.000	142	142	142	4.420	1.759
231	0.000	173	173	173	4.219	1.870
232	0.000	149	149	149	4.285	1.912
233	0.000	150	150	150	4.379	1.949
234	0.000	139	139	139	4.431	2.000
235	0.000	145	145	145	4.453	2.056
236	0.000	176	176	176	3.862	2.831
237	0.000	144	144	144	3.937	2.845
238	0.000	144	144	144	3.990	2.855
239	0.000	144	144	144	4.037	2.864
240	0.000	151	151	151	4.082	2.869
241	0.000	165	165	165	4.395	2.910
242	0.000	153	153	153	4.436	2.879
243	0.000	148	148	148	4.479	2.847
244	0.000	151	151	151	4.505	2.804
245	0.000	167	167	167	4.510	2.733
246	0.000	159	159	159	4.955	1.082
247	0.000	135	135	135	4.999	1.063
248	0.000	140	140	140	5.034	1.047
249	0.000	142	142	142	5.078	1.025
250	0.000	142	142	142	5.105	1.001
251	0.000	172	172	172	4.615	1.266
252	0.000	154	154	154	4.658	1.304
253	0.000	141	141	141	4.735	1.317
254	0.000	148	148	148	4.804	1.316
255	0.000	146	146	146	4.858	1.326
256	0.000	149	149	149	4.880	1.440
257	0.000	131	131	131	4.925	1.460
258	0.000	134	134	134	4.958	1.470
259	0.000	129	129	129	4.990	1.488
260	0.000	137	137	137	5.015	1.505
261	0.000	145	145	145	5.060	1.511
262	0.000	138	138	138	5.125	1.550
263	0.000	140	140	140	5.209	1.565
264	0.000	143	143	143	5.289	1.554
265	0.000	166	166	166	5.364	1.548
266	0.000	152	152	152	4.608	1.800
267	0.000	139	139	139	4.682	1.767
268	0.000	133	133	133	4.779	1.742
269	0.000	147	147	147	4.861	1.732
270	0.000	137	137	137	4.938	1.722
271	0.000	140	140	140	5.330	1.745
272	0.000	134	134	134	5.378	1.738
273	0.000	138	138	138	5.420	1.738
274	0.000	140	140	140	5.457	1.740
275	0.000	144	144	144	5.482	1.747
276	0.000	171	171	171	4.935	1.903
277	0.000	134	134	134	5.015	1.920
278	0.000	140	140	140	5.095	1.917
279	0.000	145	145	145	5.162	1.903
280	0.000	141	141	141	5.234	1.895
281	0.000	146	146	146	5.311	1.962
282	0.000	144	144	144	5.355	1.961
283	0.000	150	150	150	5.392	1.957
284	0.000	143	143	143	5.422	1.955
285	0.000	158	158	158	5.455	1.950
286	0.000	167	167	167	4.952	2.690
287	0.000	149	149	149	5.035	2.705
288	0.000	150	150	150	5.096	2.720
289	0.000	150	150	150	5.149	2.740
290	0.000	154	154	154	5.212	2.771
291	0.000	164	164	164	5.355	2.713
292	0.000	144	144	144	5.400	2.708
293	0.000	143	143	143	5.457	2.715
294	0.000	137	137	137	5.501	2.724
295	0.000	154	154	154	5.528	2.730
296	0.000	174	174	174	5.458	1.365
297	0.000	139	139	139	5.507	1.391
298	0.000	140	140	140	5.557	1.402
299	0.000	137	137	137	5.596	1.405
300	0.000	148	148	148	5.636	1.407
301	0.000	159	159	159	6.081	1.255
302	0.000	143	143	143	6.127	1.260
303	0.000	142	142	142	6.164	1.251
304	0.000	142	142	142	6.196	1.240
305	0.000	160	160	160	6.221	1.228
306	0.000	167	167	167	5.574	1.653
307	0.000	138	138	138	5.620	1.676
308	0.000	135	135	135	5.655	1.695
309	0.000	137	137	137	5.694	1.713
310	0.000	159	159	159	5.729	1.730
311	0.000	161	161	161	6.074	1.665
312	0.000	137	137	137	6.162	1.644
313	0.000	138	138	138	6.245	1.655
314	0.000	137	137	137	6.305	1.680
315	0.000	151	151	151	6.370	1.709
316	0.000	171	171	171	6.476	1.510
317	0.000	133	133	133	6.508	1.538
318	0.000	137	137	137	6.550	1.554
319	0.000	127	127	127	6.592	1.558
320	0.000	149	149	149	6.645	1.559
321	0.000	139	139	139	5.809	1.801
322	0.000	135	135	135	5.901	1.818
323	0.000	133	133	133	5.980	1.843
324	0.000	133	133	133	6.066	1.845
325	0.000	144	144	144	6.128	1.877
326	0.000	171	171	171	6.406	1.794
327	0.000	131	131	131	6.460	1.803
328	0.000	137	137	137	6.509	1.818
329	0.000	134	134	134	6.547	1.835
330	0.000	147	147	147	6.577	1.851
331	0.000	159	159	159	5.533	1.957
332	0.000	154	154	154	5.605	1.963
333	0.000	143	143	143	5.699	1.971
334	0.000	143	143	143	5.769	1.967
335	0.000	160	160	160	5.845	1.960
336	0.000	178	178	178	6.196	1.960
337	0.000	151	151	151	6.245	1.996
338	0.000	148	148	148	6.283	2.030
339	0.000	142	142	142	6.315	2.060
340	0.000	169	169	169	6.346	2.085
341	0.000	187	187	187	6.585	1.945
342	0.000	131	131	131	6.631	1.960
343	0.000	136	136	136	6.664	1.965
344	0.000	135	135	135	6.690	1.965
345	0.000	165	165	165	6.706	1.965
346	0.000	165	165	165	5.539	2.873
347	0.000	143	143	143	5.574	2.886
348	0.000	144	144	144	5.614	2.900
349	0.000	143	143	143	5.640	2.910
350	0.000	156	156	156	5.670	2.922
351	0.000	175	175	175	5.725	2.745
352	0.000	149	149	149	5.808	2.752
353	0.000	154	154	154	5.883	2.751
354	0.000	158	158	158	5.940	2.763
355	0.000	168	168	168	6.005	2.790
356	0.000	159	159	159	6.076	2.933
357	0.000	139	139	139	6.109	2.925
358	0.000	139	139	139	6.138	2.919
359	0.000	143	143	143	6.160	2.915
360	0.000	158	158	158	6.190	2.911
361	0.000	150	150	150	6.364	2.745
362	0.000	139	139	139	6.380	2.775
363	0.000	149	149	149	6.394	2.809
364	0.000	146	146	146	6.410	2.845
365	0.000	162	162	162	6.419	2.881
366	0.000	146	146	146	6.836	2.973
367	0.000	141	141	141	6.862	2.971
368	0.000	143	143	143	6.886	2.969
369	0.000	145	145	145	6.915	2.968
370	0.000	172	172	172	6.951	2.965
371	0.000	163	163	163	6.754	1.095
372	0.000	133	133	133	6.768	1.116
373	0.000	132	132	132	6.786	1.140
374	0.000	130	130	130	6.801	1.161
375	0.000	146	146	146	6.812	1.182
376	0.000	163	163	163	6.815	1.192
377	0.000	174	174	174	6.879	1.198
378	0.000	137	137	137	6.960	1.268
379	0.000	136	136	136	7.009	1.344
380	0.000	177	177	177	7.065	1.401
381	0.000	179	179	179	6.650	1.720
382	0.000	137	137	137	6.739	1.731
383	0.000	138	138	138	6.829	1.746
384	0.000	135	135	135	6.895	1.755
385	0.000	146	146	146	6.967	1.755
386	0.000	159	159	159	6.979	1.689
387	0.000	140	140	140	7.040	1.671
388	0.000	132	132	132	7.081	1.649
389	0.000	134	134	134	7.113	1.628
390	0.000	156	156	156	7.146	1.601
391	0.000	153	153	153	7.216	1.685
392	0.000	132	132	132	7.280	1.658
393	0.000	134	134	134	7.335	1.633
394	0.000	137	137	137	7.391	1.607
395	0.000	154	154	154	7.444	1.580
396	0.000	169	169	169	7.537	1.449
397	0.000	132	132	132	7.583	1.503
398	0.000	135	135	135	7.614	1.545
399	0.000	133	133	133	7.640	1.586
400	0.000	154	154	154	7.664	1.621
401	0.000	156	156	156	7.043	1.790
402	0.000	138	138	138	7.121	1.812
403	0.000	132	132	132	7.194	1.840
404	0.000	139	139	139	7.253	1.874
405	0.000	145	145	145	7.313	1.921
406	0.000	170	170	170	6.960	1.877
407	0.000	140	140	140	6.999	1.907
408	0.000	145	145	145	7.030	1.934
409	0.000	137	137	137	7.056	1.960
410	0.000	149	149	149	7.081	1.988
411	0.000	153	153	153	7.435	1.892
412	0.000	135	135	135	7.482	1.876
413	0.000	134	134	134	7.522	1.860
414	0.000	139	139	139	7.572	1.847
415	0.000	161	161	161	7.619	1.828
416	0.000	210	210	210	6.722	2.045
417	0.000	149	149	149	6.806	2.088
418	0.000	154	154	154	6.895	2.109
419	0.000	149	149	149	6.985	2.113
420	0.000	166	166	166	7.049	2.095
421	0.000	160	160	160	7.095	2.170
422	0.000	144	144	144	7.149	2.101
423	0.000	142	142	142	7.199	2.051
424	0.000	153	153	153	7.247	2.013
425	0.000	152	152	152	7.296	1.953
426	0.000	163	163	163	7.553	2.079
